Language,Countries,Degree of endangerment,Number of speakers,Endangerment Level,Total_Speakers,Duplicate_Columns,Endangerment_Level
tobada,Indonesia,extinct,12000,5.0,12000,True,
tobati,Indonesia,severely endangered,80,3.0,80,True,
tobian,Palau,critically endangered,22,4.0,22,True,
tocho,Sudan,severely endangered,3800,3.0,3800,True,
toda,India,critically endangered,1006,4.0,1006,True,
tofa,Russian Federation,critically endangered,40,4.0,40,True,
tofanma,Indonesia,vulnerable,90,1.0,90,True,
togoyo,Sudan,extinct,0,5.0,0,True,
tokelauan,Tokelau,severely endangered,4500,3.0,4500,True,
tol,Honduras,critically endangered,300,4.0,300,True,
tolcha,India,extinct,1000,5.0,1000,True,
tolomako,Vanuatu,definitely endangered,450,2.0,450,True,
tolowa,United States of America,critically endangered,1,4.0,1,True,
tomadino,Indonesia,definitely endangered,500,2.0,500,True,
tombelala,Indonesia,vulnerable,1000,1.0,1000,True,
tonjon,Côte d'Ivoire,extinct,0,5.0,0,True,
toram,Chad,severely endangered,8456,3.0,8456,True,
toratn,Indonesia,definitely endangered,500,2.0,500,True,
torlak,"Albania, Bulgaria, The former Yugoslav Republic of Macedonia, Romania, Serbia",vulnerable,1500000,1.0,1500000,True,
torwali,Pakistan,definitely endangered,60000,2.0,60000,True,
tor,Brazil,extinct,0,5.0,0,True,
toto,India,critically endangered,1000,4.0,1000,True,
totoli,Indonesia,vulnerable,15000,1.0,15000,True,
totor,Colombia,critically endangered,4,4.0,4,True,
touggourt tamazight,Algeria,severely endangered,1000,3.0,1000,True,
transylvanian saxon,Romania,severely endangered,50000,3.0,50000,True,
trio,Brazil,vulnerable,1156,1.0,1156,True,
trio,Suriname,vulnerable,1000,1.0,1000,True,
triw,Lao People's Democratic Republic,definitely endangered,1328,2.0,1328,True,
trukhmen,"Russian Federation, Turkmenistan",definitely endangered,10000,2.0,10000,True,
trumai,Brazil,critically endangered,51,4.0,51,True,
tsamay,Ethiopia,definitely endangered,8621,2.0,8621,True,
tsixa,Botswana,definitely endangered,390,2.0,390,True,
tsafiki,Ecuador,definitely endangered,2000,2.0,2000,True,
tsakhur,"Azerbaijan, Russian Federation",definitely endangered,25000,2.0,25000,True,
tsakonian,Greece,critically endangered,300,4.0,300,True,
tsetsaut,Canada,extinct,0,5.0,0,True,
tsez,Russian Federation,definitely endangered,15356,2.0,15356,True,
tshangla,"Bhutan, China, India",vulnerable,193000,1.0,193000,True,
tsimshian,Canada,critically endangered,160,4.0,160,True,
tsou,China,vulnerable,1200,1.0,1200,True,
tsum,Nepal,definitely endangered,4786,2.0,4786,True,
tuahka,Nicaragua,severely endangered,300,3.0,300,True,
tuamotuan,French Polynesia (France),definitely endangered,14400,2.0,14400,True,
tubatulabal,United States of America,critically endangered,3,4.0,3,True,
tucano,Brazil,vulnerable,7000,1.0,7000,True,
tucano,Colombia,vulnerable,1000,1.0,1000,True,
tulekaweah yokuts,United States of America,critically endangered,10,4.0,10,True,
tulishi,Sudan,severely endangered,8628,3.0,8628,True,
tulu,India,vulnerable,1722768,1.0,1722768,True,
tum,Lao People's Democratic Republic,definitely endangered,1000,2.0,1000,True,
tumtum,Sudan,severely endangered,6500,3.0,6500,True,
tundra enets,Russian Federation,critically endangered,10,4.0,10,True,
tundra nenets,Russian Federation,definitely endangered,30000,2.0,30000,True,
tundra yukagir,Russian Federation,critically endangered,150,4.0,150,True,
tunebo,"Colombia, Venezuela (Bolivarian Republic of)",definitely endangered,7231,2.0,7231,True,
tunica,United States of America,extinct,0,5.0,0,True,
tunisian judeoarabic,Tunisia,critically endangered,500,4.0,500,True,
tunisian judeoarabic,Israel,severely endangered,1000,3.0,1000,True,
tuotomb,Cameroon,severely endangered,1000,3.0,1000,True,
tupari,Brazil,definitely endangered,150,2.0,150,True,
turaka,Papua New Guinea,critically endangered,35,4.0,35,True,
turi,India,definitely endangered,5000,2.0,5000,True,
turoyo,"Syrian Arab Republic, Turkey",severely endangered,50000,3.0,50000,True,
tuscarora,United States of America,critically endangered,3,4.0,3,True,
tuscarora,Canada,critically endangered,1000,4.0,1000,True,
tutuba,Vanuatu,definitely endangered,120,2.0,120,True,
tututni,United States of America,extinct,0,5.0,0,True,
tuvaluan,Tuvalu,definitely endangered,11000,2.0,11000,True,
