Name in English,Countries,Degree of endangerment,Number of speakers
Western Neo-Aramaic,Syrian Arab Republic,Definitely endangered,20000.0
Yaghnobi,Tajikistan,Definitely endangered,20000.0
Yaw,Myanmar,Definitely endangered,20000.0
Yeyi,Botswana,Definitely endangered,20000.0
Boro,,Definitely endangered,19878.0
Sorbian,Germany,Definitely endangered,19500.0
Biete,India,Definitely endangered,19000.0
Hrangkhol,India,Vulnerable,19000.0
Terena,Brazil,Severely endangered,19000.0
Kati,"Pakistan, Afghanistan",Definitely endangered,18700.0
Kulung,Nepal,Vulnerable,18686.0
Kaingang,Brazil,Definitely endangered,18500.0
Lowland Mazatec,Mexico,Vulnerable,18389.0
Vafsi,Iran (Islamic Republic of),Definitely endangered,18000.0
Bassari,Senegal,Vulnerable,17910.0
Bayot,Senegal,Vulnerable,17150.0
Pochuri,India,Vulnerable,17000.0
Tamahaq (Libya),Libyan Arab Jamahiriya,Definitely endangered,17000.0
Swampy Cree,Canada,Vulnerable,16685.0
Koraga,India,Critically endangered,16665.0
Oyda,Ethiopia,Vulnerable,16597.0
Pangvali,India,Critically endangered,16285.0
Shipibo-Conibo,Peru,Definitely endangered,16085.0
Amba,Uganda,Vulnerable,16000.0
Tsez,Russian Federation,Definitely endangered,15356.0
Bonan,China,Definitely endangered,15000.0
Chrau,Viet Nam,Definitely endangered,15000.0
Dari,Iran (Islamic Republic of),Definitely endangered,15000.0
Dzala,Bhutan,Vulnerable,15000.0
Ersu,China,Definitely endangered,15000.0
Gangte,India,Definitely endangered,15000.0
Gurdu-Mbaaru,Nigeria,Severely endangered,15000.0
Ha-lung Tibetan,Nepal,Definitely endangered,15000.0
Hlersu,China,Vulnerable,15000.0
Juk,Lao People's Democratic Republic,Definitely endangered,15000.0
Kwama,Ethiopia,Vulnerable,15000.0
Laemae,China,Severely endangered,15000.0
Lavua,Thailand,Definitely endangered,15000.0
Macushi (Brazil),Brazil,Vulnerable,15000.0
Nahali,India,Definitely endangered,15000.0
Naluo,China,Vulnerable,15000.0
Nyoe,Thailand,Definitely endangered,15000.0
O'odham (Akimel),United States of America,Definitely endangered,15000.0
O'odham (Tohono),United States of America,Definitely endangered,15000.0
Paiwan,China,Vulnerable,15000.0
Rao,China,Definitely endangered,15000.0
Semai,Malaysia,Severely endangered,15000.0
Shatt,Sudan,Severely endangered,15000.0
Siwi,Egypt,Definitely endangered,15000.0
Tagargrent,Algeria,Severely endangered,15000.0
Tayurayt,Algeria,Vulnerable,15000.0
Totoli,Indonesia,Vulnerable,15000.0
Aruaco,Colombia,Vulnerable,14799.0
Yakkha,Nepal,Critically endangered,14648.0
Kuruba,India,Critically endangered,14613.0
Tuamotuan,French Polynesia (France),Definitely endangered,14400.0
Katla,Sudan,Definitely endangered,14208.0
Garífuna (Belize),Belize,Vulnerable,14061.0
Thulung,Nepal,Definitely endangered,14034.0
Bawm,"Bangladesh, India",Definitely endangered,14000.0
Guajajara,Brazil,Vulnerable,14000.0
Niuean,Niue,Definitely endangered,14000.0
Uhunduni,Indonesia,Vulnerable,14000.0
Gusilay,Senegal,Vulnerable,13950.0
Xavante,Brazil,Vulnerable,13303.0
Dondo,Indonesia,Vulnerable,13000.0
Khampti,India,Vulnerable,13000.0
Nalu,Guinea,Definitely endangered,13000.0
Tagoi,Sudan,Severely endangered,13000.0
Karko,Sudan,Definitely endangered,12986.0
San Mateo del Mar Huave,Mexico,Vulnerable,12667.0
Q'eqchi' (Belize),Belize,Vulnerable,12366.0
Kadaru,Sudan,Definitely endangered,12360.0
Mazatlán Mazatec,Mexico,Vulnerable,12340.0
Badiaranke,Guinea,Severely endangered,12205.0
Alune,Indonesia,Vulnerable,12000.0
Bangani,India,Critically endangered,12000.0
Chamalal,Russian Federation,Definitely endangered,12000.0
Chru,Viet Nam,Vulnerable,12000.0
Hill Miri,India,Definitely endangered,12000.0
Jinuo,China,Definitely endangered,12000.0
Muya,China,Vulnerable,12000.0
Samei,China,Severely endangered,12000.0
Tajio,Indonesia,Vulnerable,12000.0
